"Timestamp","1. What is your assigned Worker ID?","2. In which department do you work?","3.  Which days of the week are you available to take shifts?","4.  What time of day do you prefer to work?","5.  How many off days do you want to have this week?","6.  Are there any specific days and times when you STRICTLY CANNOT work?","7.  What is the maximum number of consecutive days you are willing to work without a day off?"
"2026/04/23 1:38:53 pm GMT+4","6700","Housekeeping","Monday;Tuesday;Wednesday;Friday;Saturday;Sunday","Available Anytime","1","No any","5days;6days"
"2026/04/23 1:48:33 pm GMT+4","4779","Reception","Monday;Tuesday;Wednesday;Thursday;Friday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00)","2","No any","4days;5days"
"2026/04/23 1:48:53 pm GMT+4","3524","Reception","Monday;Thursday;Friday;Saturday;Sunday","Available Anytime","2","No any","5days"
"2026/04/23 1:50:07 pm GMT+4","4773","Reception","Monday;Tuesday;Wednesday;Friday;Saturday","Available Anytime","2","No any","5days"
"2026/04/23 1:50:07 pm GMT+4","4777","Reception","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Available Anytime","1","Saturday night","5days"
"2026/04/23 1:51:01 pm GMT+4","2009","Reception","Tuesday;Wednesday;Thursday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Night Shift (e.g., 00:00 - 08:00)","2","Wednesday morning","5days;6days"
"2026/04/23 1:51:36 pm GMT+4","8750","Housekeeping","Monday;Tuesday;Wednesday;Thursday;Sunday","Afternoon Shift (e.g., 16:00 - 00:00)","2","no","5days"
"2026/04/23 1:52:01 pm GMT+4","0218","Housekeeping","Monday;Tuesday;Wednesday;Thursday;Friday;Sunday","Available Anytime","1","No any","6days"
"2026/04/23 1:53:23 pm GMT+4","4672","Housekeeping","Tuesday;Wednesday;Thursday;Friday;Saturday","Available Anytime","2","No any day","5days"
"2026/04/23 1:54:14 pm GMT+4","6201","Housekeeping","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00)","0","No","7days"
"2026/04/23 1:55:17 pm GMT+4","3876","Housekeeping","Tuesday;Wednesday;Thursday;Saturday;Sunday","Morning Shift (e.g., 08:00 - 16:00);Afternoon Shift (e.g., 16:00 - 00:00)","2","sunday morning ","3days;4days;5days"
